subhalo_id,group_id,is_central,stellar_mass,vel_dispersion,half_mass_radius,metallicity,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,halo_mass,halo_mass_log,log_vel_dispersion,log_half_mass_radius,log_metallicity
88671,9,0,10.664160452627774,108.533,49.4998,0.0138555,42020.7,66117.0,42408.9,-720.932,477.897,449.173,212519505300597.88,14.327398796295338,2.0355618076671917,1.6946034442048443,-1.8583464538975198
88672,9,0,10.745405142355246,135.928,27.9796,1e-06,40035.6,66738.0,42414.9,138.212,470.363,-46.1812,212519505300597.88,14.327398796295338,2.133308926879325,1.4468415014698008,-5.698970004336019
69507,6,1,12.347366031783904,496.921,408.586,0.00606713,43440.1,38187.4,70194.6,30.6298,-96.9748,-68.2743,208590059418364.34,14.319293607817173,2.6962873505217586,2.611283481662773,-2.2169451237195394
69508,6,0,11.632419032540977,252.483,154.352,0.0100402,44695.9,37751.0,70842.8,-797.348,-139.768,-118.401,208590059418364.34,14.319293607817173,2.4022321418418473,2.18851226118019,-1.998214382585806
69509,6,0,11.39974165952906,200.602,19.2328,0.0221818,43106.5,38192.3,70103.8,388.257,-78.4233,191.344,208590059418364.34,14.319293607817173,2.3023352586177688,1.2840425154411732,-1.6539836363743967
69510,6,0,11.18830434429035,156.608,25.998,1e-06,43433.5,37847.4,70489.4,-391.64,725.282,-697.341,208590059418364.34,14.319293607817173,2.1948139433356766,1.4149399394180184,-5.698970004336019
69511,6,0,10.969286706141439,132.486,23.8503,1e-06,43127.0,37649.8,70249.8,-521.683,-522.781,-251.988,208590059418364.34,14.319293607817173,2.1221699881295564,1.3774938461654473,-5.698970004336019
69512,6,0,11.093708543171418,207.643,3.4359,1e-06,43318.0,38168.1,70137.9,425.306,40.149,369.197,208590059418364.34,14.319293607817173,2.3173172948843,0.5360405154385471,-5.698970004336019
69513,6,0,10.587165919897267,97.931,43.7344,0.0312807,44522.9,36913.0,71124.8,-489.943,-25.1289,76.1033,208590059418364.34,14.319293607817173,1.9909201892274624,1.640823172739143,-1.504709653292578
69514,6,0,10.680622383289293,104.506,35.9291,0.0138247,44872.9,37751.8,71520.4,-713.263,-37.6388,-342.733,208590059418364.34,14.319293607817173,2.0191412252995855,1.5554463385536859,-1.8593128709859235
69515,6,0,10.602303548504793,110.164,27.1504,1e-06,43061.1,38938.3,69327.0,500.366,288.794,-86.3277,208590059418364.34,14.319293607817173,2.0420396965516017,1.4337762323231378,-5.698970004336019
69516,6,0,10.619276072933637,96.0082,31.8745,1e-06,44184.9,37214.3,71170.9,416.975,5.5125,471.177,208590059418364.34,14.319293607817173,1.9823083274423468,1.5034433809261187,-5.698970004336019
83280,8,1,12.321005578816319,491.438,394.652,0.00602107,23867.8,33076.1,41411.2,-149.867,322.279,168.557,207975664074033.06,14.318012519690214,2.691468734871471,2.5962143080453823,-2.220254200593926
83281,8,0,11.84549443738169,289.628,109.814,0.0148489,23228.0,32711.2,40827.3,574.307,123.031,910.046,207975664074033.06,14.318012519690214,2.4618405452933207,2.0406577111082256,-1.8282764708985815
83282,8,0,11.352669495952004,180.048,20.5032,0.0211189,23724.4,33545.2,41524.8,-276.341,178.862,307.983,207975664074033.06,14.318012519690214,2.25538830152631,1.3118216480745681,-1.6753081424616632
83283,8,0,10.968205730937568,133.37,14.6146,1e-06,23300.9,33291.2,41656.1,-26.3566,288.63,612.413,207975664074033.06,14.318012519690214,2.125058151172073,1.1647869332637557,-5.698970004336019
83284,8,0,10.401800293318239,88.4185,49.5439,0.0186262,24060.2,34130.8,42823.2,-987.167,34.2757,131.595,207975664074033.06,14.318012519690214,1.9465431429239763,1.6949901904172258,-1.7298524223952134
83285,8,0,10.329392173808708,89.3338,37.8737,0.0161241,23906.8,33661.7,42359.7,-1088.62,-22.3761,-129.007,207975664074033.06,14.318012519690214,1.951015808005718,1.5783377347772682,-1.7924975834019334
83286,8,0,10.876644078262045,137.249,11.347,1e-06,23800.6,32895.6,41474.6,-813.994,-329.968,-986.251,207975664074033.06,14.318012519690214,2.1375091888520816,1.0548810548627718,-5.698970004336019
83287,8,0,10.811813183792262,127.76,13.6023,1e-06,24334.5,33414.9,41580.3,-796.823,-203.061,433.859,207975664074033.06,14.318012519690214,2.1063949031304263,1.1336123490212475,-5.698970004336019
83288,8,0,10.922647474905004,127.58,7.8038,1e-06,23917.2,32754.3,41313.1,-238.866,1064.13,357.513,207975664074033.06,14.318012519690214,2.1057825978144415,0.892306130531629,-5.698970004336019
83289,8,0,10.621458098931184,97.6136,27.0766,1e-06,24642.8,32913.3,42361.8,-440.728,691.959,275.84,207975664074033.06,14.318012519690214,1.9895103298949735,1.4325941292175837,-5.698970004336019
60731,5,1,12.127390337654143,490.099,434.959,0.00473621,18832.8,68248.7,2399.82,21.8701,21.7809,-40.5656,203177446624963.1,14.307875498149604,2.6902838163773,2.638448321522574,-2.3244773626185316
60732,5,0,11.434965180292096,243.716,147.824,0.0105287,19095.3,66677.4,1441.3,-423.604,677.831,-205.629,203177446624963.1,14.307875498149604,2.386884041632871,2.1697449497651675,-1.9775840020529338
60733,5,0,11.107462337188762,164.394,99.397,0.0103889,18619.8,70099.4,2950.71,69.3261,-548.262,-398.726,203177446624963.1,14.307875498149604,2.215885962751215,1.9973732767201773,-1.983388632390579
60734,5,0,11.648783375773501,256.477,32.2618,1e-06,18606.1,68352.2,2408.15,572.549,-1009.1,51.0361,203177446624963.1,14.307875498149604,2.409048425116645,1.50868859455509,-5.698970004336019
60735,5,0,10.969425680376835,140.296,100.772,0.0201259,18524.7,66452.1,2120.86,335.739,705.517,-419.096,203177446624963.1,14.307875498149604,2.1470452889706846,2.0033398779951304,-1.6962231111803951
60736,5,0,11.273296941280877,177.002,50.7401,0.0181103,18348.2,67978.6,2431.65,-370.133,-668.977,-865.005,203177446624963.1,14.307875498149604,2.2479781736163633,1.7053513188061966,-1.7420503756073349
60737,5,0,11.435459429617628,172.531,26.0875,0.0311916,18470.6,68148.8,2105.67,-107.034,256.74,312.22,203177446624963.1,14.307875498149604,2.236867139521487,1.4164324620735105,-1.5059484239414163
60738,5,0,10.930558622040982,147.23,60.0338,0.0268242,19467.6,66674.9,1002.19,-670.63,480.477,93.1262,203177446624963.1,14.307875498149604,2.1679963120868804,1.7783958340571806,-1.5714570313909924
60739,5,0,11.027954187039743,131.537,72.0161,0.018028,17944.4,68739.4,3329.97,-23.5965,-634.619,-464.642,203177446624963.1,14.307875498149604,2.119047932564265,1.8574295986467537,-1.744028361271276
60740,5,0,10.8748398069369,132.804,58.1819,0.0131432,18778.0,69528.6,3179.81,446.345,-119.787,-808.09,203177446624963.1,14.307875498149604,2.1232111559940905,1.7647878995518478,-1.8812658413688284
41582,3,1,12.15370282266216,468.811,430.396,0.0142583,68543.1,59018.3,53992.0,155.116,69.8475,184.226,171004671469036.03,14.233007974517964,2.6709977932473525,2.6338682264455073,-1.8459017938108824
41583,3,0,11.9237645589222,396.159,256.259,0.0157368,67423.5,60173.2,54395.7,574.568,-438.2,-518.729,171004671469036.03,14.233007974517964,2.597869526742318,2.408679127065563,-1.80305597811663
41584,3,0,11.513328896771291,233.541,183.098,0.00997479,66774.1,56646.9,54044.7,656.846,389.996,-293.636,171004671469036.03,14.233007974517964,2.3683631354831456,2.2626836004802455,-2.0010527017509587
41585,3,0,11.424740856709946,220.185,114.354,0.00825642,67864.9,57983.9,54203.4,692.548,559.522,-184.76,171004671469036.03,14.233007974517964,2.342787729535282,2.0582513604385677,-2.0831556251723464
41586,3,0,11.824696603099643,275.388,36.8241,0.0131177,67664.0,60223.2,54451.6,1171.07,-403.404,-931.479,171004671469036.03,14.233007974517964,2.4399450120017794,1.566132141263205,-1.882109199320059
41587,3,0,11.135231273977322,173.463,92.4216,0.00878246,68486.7,60206.3,54089.0,-181.008,-651.56,-499.216,171004671469036.03,14.233007974517964,2.2392068531356983,1.9657734827409659,-2.05633437214593
41588,3,0,11.00881508224165,134.058,76.5128,0.0160582,68367.8,59800.4,54575.7,-272.142,-972.913,-232.196,171004671469036.03,14.233007974517964,2.1272927359032767,1.8837340953412793,-1.7942760931942774
41589,3,0,10.959556800229759,124.997,38.4516,0.0113392,67470.4,56749.9,53708.0,607.145,535.763,-115.273,171004671469036.03,14.233007974517964,2.096899589815412,1.584914415833517,-1.9453792859959835
41590,3,0,11.138210833483752,159.79,10.6487,0.0102139,66712.6,56589.0,54044.7,653.195,180.819,-591.58,171004671469036.03,14.233007974517964,2.203549596750741,1.0272965920670207,-1.9907658805891224
41591,3,0,10.975427059448513,128.78,21.9624,1e-06,67969.8,59987.5,54004.3,-31.1715,-119.138,376.828,171004671469036.03,14.233007974517964,2.1098484207561055,1.3416797970623924,-5.698970004336019
96500,10,1,12.24310765038993,477.033,389.128,0.00662774,58440.3,619.37,38193.2,58.7141,98.9214,87.2429,163114135850310.0,14.212491599640911,2.6785484235310455,2.590092481916523,-2.178569015041866
96501,10,0,11.18693082332117,174.605,103.476,0.0149301,59875.3,616.624,38424.1,-581.398,224.008,-168.652,163114135850310.0,14.212491599640911,2.2420566760323117,2.014839632148259,-1.825908195869597
96502,10,0,10.934146438277196,174.099,54.2524,0.00618633,59572.4,885.928,38284.6,-644.406,113.521,-380.423,163114135850310.0,14.212491599640911,2.240796276598496,1.734418955123362,-2.208496720353514
96503,10,0,10.9189258963375,128.576,58.3111,0.0162145,59454.2,1460.57,38407.1,-378.673,-390.593,-337.897,163114135850310.0,14.212491599640911,2.1091599107321364,1.7657512341739872,-1.7900696554465692
96504,10,0,11.138055971863881,158.953,28.5778,0.0151222,58240.3,279.937,38347.1,-515.483,-111.169,991.592,163114135850310.0,14.212491599640911,2.2012687289865616,1.4560287925222788,-1.8203563043837439
96505,10,0,10.7376193764295,118.574,37.7076,0.0150912,59038.0,1201.27,38349.5,-254.961,-845.621,-148.87,163114135850310.0,14.212491599640911,2.0739894706942383,1.5764288914635345,-1.8212474482152208
96506,10,0,11.120231866025694,138.589,10.8969,1e-06,58898.5,678.594,38302.2,478.794,509.771,172.932,163114135850310.0,14.212491599640911,2.141728761091921,1.0373029654288466,-5.698970004336019
96507,10,0,10.680899172195431,106.847,42.6505,0.0117011,59052.7,513.207,37460.7,-296.663,-755.167,2.3887,163114135850310.0,14.212491599640911,2.02876233275431,1.6299241268509772,-1.9317361949569167
96508,10,0,10.939672504767556,118.128,24.9487,0.0207123,57580.0,36.5143,38081.2,305.715,445.334,100.314,163114135850310.0,14.212491599640911,2.07235285107839,1.3970479207996669,-1.6837507046980857
96509,10,0,10.709020954847803,115.435,34.2513,1e-06,57288.5,384.382,38407.1,-19.4784,-49.3365,196.182,163114135850310.0,14.212491599640911,2.062337507279505,1.53467705968573,-5.698970004336019
102683,11,1,12.203161252662921,441.476,354.434,0.00679785,24088.5,36102.9,43269.2,-179.686,-108.71,-15.1939,131414706621826.1,14.118643969845591,2.644907098964832,2.549535376037045,-2.1675645403659543
102684,11,0,11.58379896934727,246.273,21.5164,1e-06,24096.3,35903.9,43318.7,-166.282,-293.519,708.846,131414706621826.1,14.118643969845591,2.391416800820947,1.3327696094236208,-5.698970004336019
102685,11,0,10.945414937109172,119.971,35.9758,0.0240321,24145.6,36551.8,44113.6,-689.224,-74.7708,-319.006,131414706621826.1,14.118643969845591,2.079076278863786,1.5560104601964817,-1.6191902064719823
102686,11,0,10.901423086538127,119.916,35.0144,0.0300984,23279.0,34832.9,42922.6,59.1443,-197.372,-192.691,131414706621826.1,14.118643969845591,2.078877133458464,1.5442466887613564,-1.5214421615253024
102687,11,0,10.622445621159496,103.288,45.7037,0.0130896,23244.1,34769.7,43207.7,-652.251,313.347,192.737,131414706621826.1,14.118643969845591,2.014049868116822,1.6599513603441918,-1.8830404473593008
102688,11,0,10.843744084990236,107.895,26.812,0.0187108,23936.1,34732.5,42731.5,-227.901,-146.637,144.957,131414706621826.1,14.118643969845591,2.0330013193564676,1.4283292107216887,-1.7278844331057317
102689,11,0,10.751210212254334,102.693,30.1493,0.0395591,23223.8,35352.7,43247.9,-153.031,-633.504,-301.416,131414706621826.1,14.118643969845591,2.0115408412118563,1.4792772332368176,-1.4027426192641075
102690,11,0,10.620944312423786,94.1677,24.2859,0.0171129,24055.5,37161.7,43787.1,-380.938,443.926,-363.832,131414706621826.1,14.118643969845591,1.9739019631190058,1.3853542024267689,-1.7666510100103385
102691,11,0,10.754234093022264,121.379,10.7418,1e-06,24144.9,36282.2,43546.9,90.5924,-665.472,332.567,131414706621826.1,14.118643969845591,2.0841435551657277,1.0310770620494436,-5.698970004336019
102692,11,0,10.561327477997676,131.808,13.9701,1e-06,24180.8,35998.1,43139.5,1123.61,-872.485,137.999,131414706621826.1,14.118643969845591,2.1199417702763235,1.145199514868137,-5.698970004336019
118679,14,1,12.073684264163923,409.968,331.759,0.00547263,55535.1,7682.91,35531.9,182.18,-192.79,125.924,114381692062481.55,14.058356516830022,2.6127499592422048,2.520822713291769,-2.2617245628610823
118680,14,0,10.784698767197634,149.214,22.62,1e-06,56075.7,7841.08,35635.2,209.593,-496.59,55.0077,114381692062481.55,14.058356516830022,2.173809572717776,1.3544926005894364,-5.698970004336019
118681,14,0,10.958661486077432,125.306,9.579,0.0277957,55329.7,7314.33,35722.1,176.252,-43.5769,43.0446,114381692062481.55,14.058356516830022,2.097971866720445,0.9813201732591074,-1.5560067600840592
118682,14,0,10.988965818004516,175.266,2.9147,1e-06,55571.3,7759.28,35516.2,155.88,-506.997,227.4,114381692062481.55,14.058356516830022,2.243697675109609,0.4645938609648766,-5.698970004336019
118683,14,0,10.844139883714238,126.405,12.7995,1e-06,55216.8,7409.07,35305.1,195.229,40.4757,219.566,114381692062481.55,14.058356516830022,2.101764252976922,1.10719300468832,-5.698970004336019
118684,14,0,10.643936161215294,114.98,21.8364,1e-06,56107.5,8360.15,35594.5,815.894,-193.037,361.013,114381692062481.55,14.058356516830022,2.060622304309956,1.339181041129512,-5.698970004336019
118685,14,0,10.165817055857863,74.4781,37.0734,0.0202249,55787.2,8614.15,35222.1,-216.387,-426.495,721.072,114381692062481.55,14.058356516830022,1.872028588891106,1.569062416985239,-1.6940921443096408
118686,14,0,10.087350858093654,85.4271,22.4252,0.0156194,56069.7,7448.6,35528.0,256.656,-62.6945,-788.332,114381692062481.55,14.058356516830022,1.9315956635867164,1.3507363250052735,-1.8063078491035007
