subhalo_id,group_id,is_central,stellar_mass,vel_dispersion,half_mass_radius,metallicity,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,halo_mass,halo_mass_log
31349,2,0,10.759699063309258,117.159,46.7379,0.0,11201.4,51606.1,48350.2,879.629,126.969,-160.816,337538116788455.9,14.528322823022382
31350,2,0,10.746707496401692,110.544,40.8465,0.0111308,11164.0,51436.0,46844.1,-882.659,-255.028,388.042,337538116788455.9,14.528322823022382
31351,2,0,10.749380473883319,123.606,35.9168,0.0,10492.2,50646.8,46797.2,876.002,-422.281,-673.749,337538116788455.9,14.528322823022382
52618,4,1,12.0800219015028,498.998,516.164,0.00452555,74659.3,18347.5,24016.4,93.146,305.905,152.788,253762749806244.47,14.40442787173464
52619,4,0,11.711510843487673,289.968,54.2978,0.00792958,237.977,18339.9,24043.3,-221.229,326.276,355.49,253762749806244.47,14.40442787173464
52620,4,0,11.622407386905273,257.612,36.2411,0.0190515,74593.6,18210.2,23785.7,860.681,-732.442,-657.817,253762749806244.47,14.40442787173464
52621,4,0,11.400688110361882,172.756,47.4695,0.0,74815.4,18735.8,24537.2,329.064,148.651,69.8158,253762749806244.47,14.40442787173464
52622,4,0,11.1821311530037,168.585,46.8589,0.0165555,73955.5,18154.8,24114.2,1175.14,387.347,-196.347,253762749806244.47,14.40442787173464
52623,4,0,11.266578721196923,169.58,28.5739,0.0,74837.5,18060.9,24161.5,-49.0256,1092.27,-101.749,253762749806244.47,14.40442787173464
52624,4,0,11.197994361720752,173.973,30.2597,0.0,167.446,18579.2,24140.5,-881.81,573.898,51.571,253762749806244.47,14.40442787173464
52625,4,0,10.850186990539779,123.869,70.7296,0.0149348,228.839,19170.9,23758.5,-283.641,-872.467,-397.233,253762749806244.47,14.40442787173464
52626,4,0,10.733664639835716,123.871,31.6332,0.0,74252.3,18829.8,24412.8,-62.7235,527.466,1148.7,253762749806244.47,14.40442787173464
52627,4,0,10.850698136553488,129.08,19.9304,0.0,74756.0,18766.1,24329.0,-165.135,-1069.2,-666.558,253762749806244.47,14.40442787173464
88663,9,1,12.315177359043263,526.121,413.721,0.00580338,40718.0,66889.9,43053.7,80.3424,98.7765,122.617,212519505300597.88,14.327398796295338
88664,9,0,11.308407176880602,189.202,39.6196,0.0,40209.3,66779.4,42711.5,-260.604,-135.382,181.537,212519505300597.88,14.327398796295338
88665,9,0,11.162085021917498,158.243,53.8973,0.0206949,40924.1,66607.4,43823.0,312.545,743.543,-813.831,212519505300597.88,14.327398796295338
