log_stellar_mass,log_vel_disp,log_half_mass_r,log_metallicity,gnn_emb_0,gnn_emb_1,gnn_emb_2,gnn_emb_3,gnn_emb_4,gnn_emb_5,gnn_emb_6,gnn_emb_7,gnn_emb_8,gnn_emb_9,gnn_emb_10,gnn_emb_11,gnn_emb_12,gnn_emb_13,gnn_emb_14,gnn_emb_15,gnn_emb_16,gnn_emb_17,gnn_emb_18,gnn_emb_19,gnn_emb_20,gnn_emb_21,gnn_emb_22,gnn_emb_23,gnn_emb_24,gnn_emb_25,gnn_emb_26,gnn_emb_27,gnn_emb_28,gnn_emb_29,gnn_emb_30,gnn_emb_31,gnn_emb_32,gnn_emb_33,gnn_emb_34,gnn_emb_35,gnn_emb_36,gnn_emb_37,gnn_emb_38,gnn_emb_39,gnn_emb_40,gnn_emb_41,gnn_emb_42,gnn_emb_43,gnn_emb_44,gnn_emb_45,gnn_emb_46,gnn_emb_47,gnn_emb_48,gnn_emb_49,gnn_emb_50,gnn_emb_51,gnn_emb_52,gnn_emb_53,gnn_emb_54,gnn_emb_55,gnn_emb_56,gnn_emb_57,gnn_emb_58,gnn_emb_59,gnn_emb_60,gnn_emb_61,gnn_emb_62,gnn_emb_63,halo_mass_log
9.172886,1.6109407,-2.1592395,-1.8174379,5.361615,4.8525305,3.1605253,4.3432007,6.579794,-0.7489839,3.0224788,3.7930396,4.063557,5.1392665,-0.28534758,4.154558,5.3319144,-0.6628579,4.0250597,3.92101,2.407859,-0.655918,8.370728,0.2778438,-0.6357621,3.2351315,-0.47235265,3.5940046,5.849494,3.830174,4.8452353,2.4491029,1.3247865,3.848514,0.8442516,-0.38769946,5.4626966,-0.6911116,-0.8873169,1.3709801,2.5226383,6.1174445,-0.33173442,5.5183926,6.388453,2.7298753,0.39616624,3.6334066,-0.024592979,2.4949758,2.2509394,1.276235,7.7968006,-0.39963824,-0.9556085,0.7573022,4.0539136,-0.8956225,3.4061208,-0.6068357,-1.0121509,1.9486787,6.2208285,2.026755,3.802322,-0.5013643,-0.4216155,-0.2078026,12.655818
9.373886,1.6492163,-2.0664883,-1.7801402,5.478756,4.8379474,3.2854733,4.4538846,6.667309,-0.75748515,2.9790955,3.809931,4.135796,5.174672,-0.27798536,4.2368555,5.335785,-0.66551715,4.049125,3.9064195,2.4783545,-0.6573142,8.377751,0.2790261,-0.6401083,3.2991898,-0.4753189,3.6262865,5.925396,3.7951677,4.8093176,2.4314494,1.3042918,3.7912784,0.8329966,-0.39734328,5.589912,-0.70071197,-0.8965303,1.422237,2.5435667,6.1888385,-0.33066773,5.556324,6.4911804,2.7821503,0.38013157,3.6713824,-0.0055926996,2.5443802,2.3320777,1.2695208,7.865988,-0.40056086,-0.95982194,0.6948881,4.0312824,-0.9054627,3.4166143,-0.6157021,-1.0187906,1.8991396,6.2829795,1.9577097,3.7879248,-0.5081315,-0.42699894,-0.21193473,12.655818
9.977206,1.8773091,-1.5143775,-1.7854116,5.668844,4.7883477,3.7092686,4.735981,6.7469635,-0.77620393,3.2575142,3.8618443,4.351121,5.3312044,-0.2756003,4.550449,5.0980096,-0.687508,4.643092,3.9696255,2.754137,-0.6703427,8.516146,0.17503813,-0.65509796,3.6218572,-0.4976123,3.6994128,5.998792,3.9323971,4.4555726,2.5886447,1.1018716,3.8165061,0.78430855,-0.43835378,6.0099273,-0.73075545,-0.9308505,1.642119,2.4632642,6.592087,-0.32965407,6.114542,6.6561546,2.7283769,0.20718841,3.6099315,-0.12654607,2.6818726,2.6679225,1.28969,8.094435,-0.3923238,-0.9728271,0.43765432,4.151435,-0.9431244,3.6756358,-0.6351583,-1.0154434,2.0435047,6.7650537,1.6889957,3.925993,-0.5442245,-0.43843842,-0.27034426,13.338354
9.962825,1.8760934,-1.4898009,-1.8186548,5.64319,4.7894545,3.710362,4.737211,6.72557,-0.7767764,3.2736826,3.8640976,4.334297,5.335808,-0.27744222,4.5509467,5.085096,-0.68810445,4.676399,3.9706438,2.767597,-0.66970706,8.519463,0.17095383,-0.65344125,3.6347804,-0.49742094,3.6946821,5.997434,3.9454274,4.451578,2.5928605,1.0968674,3.8285332,0.7926861,-0.4375299,6.0059867,-0.7299105,-0.9296142,1.6602757,2.4585931,6.606111,-0.3275164,6.136877,6.6610713,2.699301,0.19969618,3.6000154,-0.12999213,2.6846793,2.6713104,1.2909985,8.093907,-0.39220747,-0.97223675,0.44459617,4.1555576,-0.9440167,3.696381,-0.6346891,-1.0139397,2.0521,6.7703376,1.695856,3.9378712,-0.5454544,-0.43721995,-0.2694702,13.338354
9.973808,1.8815093,-1.494389,-1.7950594,5.6660104,4.786888,3.7152586,4.7448063,6.7455883,-0.7773735,3.2475204,3.8638165,4.3433566,5.3358707,-0.27511367,4.552205,5.0918083,-0.68649983,4.645033,3.9672503,2.766505,-0.66886806,8.5010805,0.17896774,-0.65395784,3.6273146,-0.496699,3.6956363,6.0015774,3.9273164,4.4537125,2.5848644,1.0948194,3.8041239,0.78570825,-0.43821615,6.0150905,-0.7302722,-0.9305334,1.6507909,2.4676557,6.588776,-0.32845685,6.1139464,6.6670446,2.7212608,0.20149437,3.6083412,-0.119188994,2.6895394,2.6731958,1.2892013,8.096685,-0.39274493,-0.9716785,0.4336099,4.1403465,-0.94373345,3.6807175,-0.6355986,-1.0149157,2.0322394,6.762419,1.6836779,3.9195812,-0.5449353,-0.43834665,-0.2696906,13.338354
9.93134,1.8691953,-1.4868312,-1.7835219,5.6418343,4.7886767,3.7029092,4.721553,6.7147574,-0.7746668,3.2813437,3.8633473,4.3334646,5.3222733,-0.27631727,4.5475535,5.068391,-0.6864532,4.6666474,3.970436,2.7542238,-0.6679565,8.4983835,0.1704993,-0.6529503,3.6143374,-0.49721992,3.6743414,5.965356,3.9471712,4.4369383,2.597496,1.0885314,3.8196902,0.7791956,-0.43840706,5.9998336,-0.72939867,-0.9281859,1.6416644,2.4592578,6.5933113,-0.32858068,6.1231813,6.6284466,2.7046597,0.1982616,3.5854387,-0.13179724,2.6713831,2.658995,1.2915643,8.075236,-0.39159104,-0.96974593,0.43091893,4.160861,-0.94051605,3.6901224,-0.6341074,-1.011575,2.0590382,6.7679615,1.6821917,3.9255154,-0.54424435,-0.43793756,-0.27066863,13.338354
8.768625,1.5476226,-2.1978967,-3.4275908,4.4853816,5.003524,2.8164816,4.3057413,6.0861397,-0.7710158,3.2568848,3.8725142,3.4331913,5.4311075,-0.37184212,3.9018664,5.5116997,-0.70332146,4.6413503,4.0122905,2.7021508,-0.6762878,8.831881,0.31816888,-0.5999757,3.6805768,-0.45450974,3.83801,6.2495847,4.233165,5.314525,2.4272506,1.549585,4.5048475,1.39342,0.27169034,5.0127497,-0.6520039,-0.8600298,1.9444803,2.3352792,6.272933,0.134764,6.0094423,6.883428,2.0950773,0.38187662,3.699737,-0.09214815,2.714148,2.2335725,1.333415,7.896676,-0.40858087,-0.97904617,1.4999944,3.989797,-0.9524325,3.7597823,-0.572586,-1.0130597,2.036942,6.026689,2.7586608,4.315076,-0.52618563,0.08947365,0.51618516,12.512942
8.852445,1.558956,-2.1990738,-3.141768,4.656875,4.9820614,2.878194,4.3242044,6.1813855,-0.7670272,3.2214086,3.8554547,3.5527778,5.3849354,-0.35646272,3.9493184,5.4892087,-0.6964516,4.524857,3.9910998,2.6496837,-0.6727299,8.75271,0.31979135,-0.60645175,3.599094,-0.45780998,3.8003218,6.1849103,4.172074,5.239919,2.4178774,1.5144293,4.384898,1.2977638,0.17811932,5.09307,-0.65983903,-0.8658747,1.8439451,2.3726733,6.252928,0.051158335,5.919343,6.811445,2.2293904,0.38825572,3.696223,-0.075816974,2.6822462,2.2376947,1.3280962,7.888055,-0.40722036,-0.9756915,1.3703048,3.9921885,-0.9427344,3.6968973,-0.5790899,-1.013763,2.0118797,6.063635,2.631014,4.2267804,-0.5216547,0.0118170185,0.4002684,12.512942
8.768625,1.5476226,-2.1978967,-3.4275908,4.483935,5.0039825,2.8161097,4.305434,6.0850787,-0.77103174,3.260051,3.872792,3.4335282,5.431224,-0.3719845,3.9018364,5.511533,-0.7033375,4.643119,4.0092177,2.701213,-0.6762219,8.833225,0.31738394,-0.59978646,3.6785526,-0.4546384,3.8380291,6.2491503,4.2354145,5.3158026,2.425033,1.5495355,4.503849,1.3932226,0.27150524,5.010955,-0.6520624,-0.8599626,1.9443676,2.3366418,6.275159,0.13480115,6.010631,6.8837786,2.0926425,0.3818968,3.6996284,-0.09111656,2.7135065,2.2335422,1.3334492,7.8978424,-0.4087325,-0.9792439,1.4998901,3.990548,-0.95232666,3.7603278,-0.5726923,-1.0130482,2.0375485,6.027784,2.759002,4.3157973,-0.5262408,0.08952483,0.5162161,12.512942
8.852445,1.558956,-2.1990738,-3.141768,4.656296,4.982171,2.878079,4.3239717,6.181233,-0.7670435,3.2225363,3.8555348,3.5528758,5.3849444,-0.35649928,3.9493,5.489129,-0.69645727,4.5254498,3.9901783,2.6494353,-0.6727261,8.752962,0.3194765,-0.6064048,3.5985518,-0.45784098,3.800336,6.1847324,4.172813,5.240286,2.4172335,1.5144095,4.384676,1.2977185,0.17805496,5.0926,-0.6598395,-0.86585027,1.8437895,2.373187,6.253563,0.051170427,5.9196076,6.811555,2.2285242,0.38826934,3.6961005,-0.07556679,2.6821039,2.2376869,1.3281299,7.888441,-0.40727174,-0.9757485,1.3702836,3.9924502,-0.94271827,3.6969037,-0.5791409,-1.0137477,2.0120163,6.063931,2.6311264,4.226888,-0.52165985,0.01183131,0.40027678,12.512942
